Protei,ProteinB,co_expression
Os02g0782200,Os12g0162500,-0.0601
Os01g0211800,Os12g0162500,-0.2029
Os02g0245800,Os02g0689200,0.1602
Os05g0235800,Os11g0484300,0.8924
Os01g0166800,Os11g0484300,0.8609
Os02g0146700,Os02g0199900,0.7385
Os09g0298400,Os02g0767100,0.537
Os09g0526600,Os02g0764500,0.0018
Os03g0118400,Os03g0607600,0.3172
Os05g0392300,Os03g0607600,0.2892
Os03g0118400,Os12g0581800,0.343
Os03g0137800,Os03g0607600,0.6084
Os06g0334400,Os03g0607600,-0.0519
Os01g0897000,Os03g0607600,0.6581
Os04g0488000,Os03g0607600,-0.3455
Os02g0508000,Os12g0169700,0.0976
Os08g0511400,Os12g0169700,-0.1269
Os07g0134800,Os04g0418000,-0.0681
Os11g0157400,Os03g0625700,0.4159
Os12g0178700,Os03g0302000,-0.3722
Os05g0333200,Os06g0199800,0.2076
Os07g0615200,Os08g0428400,0.6503
Os03g0402800,Os08g0428400,0.4238
Os02g0806600,Os01g0512200,0.177
Os05g0104900,Os06g0725900,-0.3447
Os05g0532600,Os01g0948200,-0.1527
Os02g0122000,Os02g0189500,0.3278
Os01g0678500,Os05g0222200,0.2803
Os03g0262100,Os05g0140500,0.5297
Os12g0557800,Os01g0739000,0.1685
Os05g0333200,Os10g0497900,0.0328
Os03g0363800,Os06g0670500,0.3489
Os05g0151000,Os06g0670500,0.0416
Os04g0118900,Os06g0670500,0.3296
Os05g0120100,Os06g0670500,0.4074
Os03g0374575,Os06g0670500,0.2404
Os05g0364600,Os06g0670500,0.2725
Os02g0146700,Os02g0784700,0.7446
Os02g0146700,Os11g0615700,0.8128
Os06g0217500,Os06g0697400,0.5855
Os07g0687200,Os01g0367700,0.3819
Os03g0319300,Os01g0367700,0.132
Os01g0267900,Os01g0367700,0.2974
Os06g0217500,Os01g0501000,0.3379
Os03g0784900,Os01g0196500,0.2713
Os03g0441000,Os05g0346901,0.2233
Os06g0645700,Os05g0346901,0.2916
Os03g0363800,Os03g0374575,0.4577
Os01g0959000,Os03g0374575,0.4944
Os11g0707000,Os06g0114000,0.6188
Os06g0489200,Os12g0580300,0.1879
Os09g0431500,Os12g0580300,0.0441
Os06g0645700,Os12g0580300,0.1836
Os09g0423300,Os08g0338200,-0.2948
Os05g0144800,Os08g0338200,0.6276
Os03g0701700,Os03g0832200,-0.2149
Os05g0491100,Os11g0218000,0.2935
Os07g0687200,Os11g0218000,0.2905
Os03g0319300,Os11g0218000,0.194
Os01g0267900,Os11g0218000,0.1983
Os01g0510600,Os10g0502400,0.6937
Os01g0927600,Os02g0557200,0.2606
Os09g0252000,Os11g0311300,0.8402
Os04g0520000,Os11g0311300,0.8885
Os01g0949400,Os08g0104600,0.2222
Os06g0107700,Os08g0104600,0.9068
Os09g0397900,Os03g0852900,0.1722
Os02g0226600,Os03g0123500,-0.0705
Os02g0682500,Os04g0557200,-0.146
Os09g0279600,Os08g0156900,0.2695
Os03g0610900,Os05g0528000,-0.1513
Os03g0197400,Os01g0194300,-0.0846
Os04g0428900,Os01g0194300,-0.0405
Os05g0563900,Os01g0194300,0.2174
Os02g0146700,Os07g0435100,0.7276
Os01g0897000,Os07g0435100,0.5855
Os02g0539200,Os07g0435100,-0.0792
Os03g0118400,Os07g0435100,-0.0855
Os05g0592400,Os12g0615900,0.4611
Os01g0927500,Os02g0603100,0.5474
Os06g0717200,Os02g0603100,-0.1457
Os01g0147200,Os05g0494800,0.0556
Os05g0358000,Os01g0218500,-0.1657
Os06g0142600,Os01g0218500,-0.1568
Os03g0809700,Os03g0717000,0.0947
Os02g0527600,Os03g0701700,0.0241
Os04g0169100,Os03g0701700,0.3855
Os01g0711600,Os03g0701700,0.1762
Os12g0210400,Os05g0491100,-0.2912
Os02g0266800,Os05g0491100,0.4002
Os03g0335200,Os05g0491100,-0.3484
Os01g0367700,Os05g0491100,0.34
Os03g0448600,Os06g0495700,0.5618
Os09g0280600,Os09g0506800,0.3729
Os11g0146800,Os09g0506800,0.301
Os06g0334400,Os04g0488000,0.4429
Os01g0897000,Os04g0488000,0.0166
Os12g0560400,Os04g0488000,-0.0571
Os02g0618200,Os11g0547000,0.8478
Os11g0456300,Os11g0547000,-0.07
Os07g0685000,Os11g0547000,-0.1337
Os11g0157600,Os11g0547000,0.7045
Os01g0182600,Os11g0547000,0.5035
Os04g0432000,Os11g0547000,0.2034
Os10g0114400,Os08g0261100,0.1347
Os05g0491100,Os01g0133900,0.3544
Os07g0687200,Os01g0133900,0.0065
Os03g0319300,Os01g0133900,0.0648
Os01g0267900,Os01g0133900,0.3948
Os02g0170300,Os03g0752800,0.2719
Os01g0883100,Os03g0752800,0.4459
Os01g0607400,Os03g0752800,0.2619
